artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,uri_count,rank_mean,lowest_rank,highest_rank,rank_median,streams_mean,streams_max,streams_min,streams_median,streams_sum,first_date,last_date
Young M.A,OOOUUU,0.635,0.847,7.0,-3.152,1.0,0.447,0.533,0.0,0.154,0.568,166.072,spotify:track:7JYsArznYOjX2jsrT3UEnL,234650.0,4.0,70.0,109.22857142857143,198.0,19.0,109.0,253238.91428571427,456308.0,160505.0,233301.5,17726724.0,2017-01-01,2017-03-25
The Weeknd,Party Monster,0.573,0.63,1.0,-8.389,1.0,0.105,0.189,2.31e-05,0.259,0.218,77.525,spotify:track:4F7A0DXBrmUAkp32uenhZt,249213.0,4.0,172.0,94.87209302325581,200.0,20.0,82.5,318536.27906976745,537810.0,147401.0,315631.0,54788240.0,2017-01-01,2017-07-01
Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),0.652,0.795,11.0,-5.192,0.0,0.174,0.156,0.0,0.123,0.788,135.018,spotify:track:0v9Wz8o0BT8DU38R4ddjeH,304607.0,4.0,347.0,103.77233429394812,200.0,12.0,91.0,284525.0345821326,698632.0,155626.0,262348.0,98730187.0,2017-01-01,2018-02-04
21 Savage,No Heart,0.906,0.444,4.0,-8.692,0.0,0.384,0.136,6.44e-05,0.173,0.678,140.063,spotify:track:4gmmRb6bZJffOOiww1JGTO,235040.0,4.0,267.0,119.08239700374531,200.0,19.0,143.0,274968.07116104866,560502.0,151069.0,206192.0,73416475.0,2017-01-01,2017-10-29
Hailee Steinfeld,Starving,0.729,0.615,4.0,-4.238,1.0,0.0647,0.378,0.0,0.105,0.508,99.989,spotify:track:4Ce37cRWvM1vIGGynKcs22,181880.0,4.0,251.0,113.66932270916335,198.0,17.0,122.0,254041.54183266932,523866.0,151563.0,237754.0,63764427.0,2017-01-01,2017-09-14
The Chainsmokers,Don't Let Me Down,0.532,0.869,11.0,-5.094,1.0,0.172,0.157,0.00508,0.136,0.422,159.803,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,208373.0,4.0,235.0,123.51489361702127,198.0,24.0,128.0,223991.29787234042,446177.0,157955.0,222521.0,52637955.0,2017-01-01,2018-01-01
Ariana Grande,Side To Side,0.65,0.736,6.0,-5.84,0.0,0.229,0.0513,0.0,0.235,0.612,159.174,spotify:track:1pKeFVVUOPjFsOABub0OaV,226160.0,4.0,184.0,120.05978260869566,199.0,23.0,129.0,259424.97282608695,479560.0,154885.0,225340.5,47734195.0,2017-01-01,2019-02-09
Shawn Mendes,Treat You Better,0.444,0.819,10.0,-4.078,0.0,0.341,0.106,0.0,0.107,0.747,82.695,spotify:track:3QGsuHI8jO1Rx4JWLUh9jd,187973.0,4.0,110.0,139.66363636363636,200.0,26.0,150.5,209443.70909090908,438954.0,152877.0,197235.5,23038808.0,2017-01-01,2017-08-28
Martin Garrix,In the Name of Love,0.501,0.519,4.0,-5.88,0.0,0.0409,0.109,0.0,0.454,0.168,133.99,spotify:track:23L5CiUhw2jV1OIMwthR3S,195707.0,4.0,150.0,114.70666666666666,200.0,18.0,113.0,266017.43333333335,523541.0,150381.0,227861.0,39902615.0,2017-01-01,2017-06-15
Drake,Sneakin’,0.806,0.558,8.0,-6.538,1.0,0.172,0.00496,1.45e-06,0.16,0.26,85.011,spotify:track:4ckuS4Nj4FZ7i3Def3Br8W,251333.0,4.0,98.0,67.09183673469387,195.0,24.0,55.0,351221.3775510204,489685.0,159343.0,361590.5,34419695.0,2017-01-01,2017-04-09
