artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,uri_count,rank_mean,lowest_rank,highest_rank,rank_median,streams_mean,streams_max,streams_min,streams_median,streams_sum,first_date,last_date
A$AP Ferg,"Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)",0.841,0.733,1.0,-5.077,1.0,0.142,0.0246,0.0,0.174,0.284,130.009,spotify:track:7xVLFuuYdAvcTfcP3IG3dS,283693.0,4.0,8.0,188.375,200.0,182.0,186.5,165534.625,180630.0,153854.0,163866.5,1324277.0,2017-03-09,2017-03-16
Brett Eldredge,Wanna Be That Song,0.518,0.686,9.0,-4.911,1.0,0.0313,0.114,0.0,0.114,0.334,144.065,spotify:track:1XazlqB4YAtvouCmJPWXlM,236227.0,4.0,5.0,193.8,199.0,183.0,198.0,166897.2,176621.0,159277.0,165215.0,834486.0,2017-03-09,2017-03-15
Nicki Minaj,No Frauds,0.867,0.558,1.0,-6.975,1.0,0.258,0.0884,4.05e-06,0.541,0.432,139.061,spotify:track:7KcGEssn7BnJdTgildK5y0,272453.0,4.0,81.0,135.3827160493827,200.0,17.0,158.0,260725.74074074073,789907.0,151335.0,200428.0,21118785.0,2017-03-10,2017-06-08
Lorde,Liability,0.587,0.229,10.0,-11.254,0.0,0.128,0.92,0.0,0.1,0.379,75.67,spotify:track:6Kkt27YmFyIFrcX3QXFi2o,171728.0,4.0,21.0,119.47619047619048,197.0,55.0,106.0,248716.80952380953,443472.0,155161.0,241971.0,5223053.0,2017-03-10,2017-06-26
2 Chainz,It's A Vibe,0.822,0.502,7.0,-7.38,1.0,0.148,0.0312,0.000887,0.114,0.525,73.003,spotify:track:6H0AwSQ20mo62jGlPGB8S6,210200.0,4.0,400.0,108.1525,200.0,35.0,112.5,303918.4275,543374.0,156214.0,261005.0,121567371.0,2017-03-10,2018-06-03
Nicki Minaj,Changed It,0.807,0.64,11.0,-8.329,0.0,0.399,0.628,0.0,0.115,0.649,143.98,spotify:track:63NTlJWNS65JjsE3QJYr20,295653.0,4.0,4.0,163.75,190.0,138.0,163.5,188475.25,229794.0,154471.0,184818.0,753901.0,2017-03-10,2017-03-13
Rick Ross,Trap Trap Trap (feat. Young Thug & Wale),0.729,0.838,8.0,-4.476,0.0,0.313,0.00612,0.0,0.0721,0.349,136.869,spotify:track:1KZ0Xo6Mmeprp1Sw5xCHYz,275720.0,4.0,22.0,146.0909090909091,199.0,63.0,164.0,213385.68181818182,325554.0,151740.0,193209.5,4694485.0,2017-03-10,2017-04-02
Mustard,Want Her,0.828,0.607,1.0,-6.241,1.0,0.0432,0.0769,0.000683,0.108,0.409,101.012,spotify:track:4zrwPfq5ENLzjq41Txs2HR,275560.0,4.0,31.0,177.61290322580646,199.0,143.0,179.0,180789.96774193548,197732.0,158257.0,179941.0,5604489.0,2017-03-10,2017-05-04
Stargate,Waterfall,0.372,0.919,11.0,-1.68,0.0,0.3,0.0987,0.0,0.234,0.419,182.785,spotify:track:7pYFPMeK0TnaTGdS6qOtEr,200029.0,4.0,1.0,192.0,192.0,192.0,192.0,178057.0,178057.0,178057.0,178057.0,178057.0,2017-03-10,2017-03-10
Frank Ocean,Chanel,0.776,0.503,0.0,-5.732,0.0,0.237,0.874,0.0,0.112,0.473,110.134,spotify:track:6Nle9hKrkL1wQpwNfEkxjh,210285.0,4.0,98.0,136.1530612244898,199.0,31.0,138.5,260601.6326530612,581646.0,154293.0,242535.0,25538960.0,2017-03-11,2020-01-16
Jax Jones,You Don't Know Me - Radio Edit,0.88,0.646,11.0,-6.129,0.0,0.166,0.179,0.0,0.271,0.666,123.985,spotify:track:7cjYWpqpBVtXbQTwvN9UYI,213222.0,4.0,41.0,135.97560975609755,176.0,113.0,130.0,218166.82926829267,252126.0,168950.0,221398.0,8944840.0,2017-03-15,2017-04-25
G-Eazy,Good Life (with G-Eazy & Kehlani),0.565,0.771,1.0,-5.22,1.0,0.213,0.00464,0.0,0.0568,0.573,168.385,spotify:track:1Eck97uRMlprKOOJN9oO1E,225526.0,4.0,72.0,80.48611111111111,173.0,51.0,68.0,330930.6666666667,446364.0,185006.0,344888.0,23827008.0,2017-03-17,2017-06-10
Machine Gun Kelly,At My Best (feat. Hailee Steinfeld),0.524,0.772,7.0,-6.696,0.0,0.152,0.00273,0.000169,0.224,0.237,169.855,spotify:track:77lGafvlU68CeHgB2pkHC9,199973.0,4.0,66.0,104.75757575757575,196.0,79.0,102.0,265295.30303030304,333778.0,168435.0,265061.0,17509490.0,2017-03-17,2017-05-25
Clean Bandit,Symphony (feat. Zara Larsson),0.707,0.629,0.0,-4.581,0.0,0.0563,0.259,1.6e-05,0.138,0.457,122.863,spotify:track:1x5sYLZiu9r5E43kMlt9f8,212459.0,4.0,156.0,100.73717948717949,200.0,40.0,76.0,292137.3141025641,465994.0,147400.0,319894.0,45573421.0,2017-03-17,2017-08-24
Mike WiLL Made-It,On The Come Up (feat. Big Sean),0.494,0.643,7.0,-6.211,1.0,0.294,0.0391,0.0,0.658,0.511,110.052,spotify:track:7HwKzQBybHSHqdLv25VdtU,235886.0,4.0,1.0,146.0,146.0,146.0,146.0,206386.0,206386.0,206386.0,206386.0,206386.0,2017-03-17,2017-03-17
Tee Grizzley,From The D To The A (feat. Lil Yachty),0.851,0.625,10.0,-5.417,0.0,0.303,0.195,0.0,0.266,0.668,99.061,spotify:track:2NyrXRn4tancYPW6JwtTl2,158684.0,4.0,264.0,156.6969696969697,199.0,93.0,165.0,201057.56818181818,283311.0,155284.0,193763.5,53079198.0,2017-03-17,2018-01-12
A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),0.839,0.81,5.0,-5.274,0.0,0.0568,0.501,0.0,0.117,0.814,129.014,spotify:track:1f5cbQtDrykjarZVrShaDI,209269.0,4.0,493.0,79.8052738336714,200.0,18.0,61.0,397729.35294117645,674840.0,178126.0,384728.0,196080571.0,2017-03-17,2019-01-27
Rick Ross,"Dead Presidents (feat. Future, Jeezy & Yo Gotti)",0.662,0.808,9.0,-3.06,1.0,0.122,0.00589,0.0,0.613,0.472,76.493,spotify:track:3LRoXCTQ7VvvVtzpceHt4y,267720.0,4.0,5.0,171.2,195.0,140.0,173.0,180671.8,198792.0,168531.0,180969.0,903359.0,2017-03-17,2017-03-22
Rick Ross,Idols Become Rivals (feat. Chris Rock),0.481,0.716,10.0,-5.996,0.0,0.622,0.0123,0.0,0.141,0.404,78.829,spotify:track:5cQffjWJzgnmEtTzKW6dnh,341680.0,4.0,2.0,161.0,171.0,151.0,161.0,184747.0,187105.0,182389.0,184747.0,369494.0,2017-03-17,2017-03-18
Weezer,Feels Like Summer,0.53,0.867,11.0,-4.989,1.0,0.0504,0.02,0.000248,0.737,0.74,175.981,spotify:track:2jz1bw1p0WQj0PDnVDP0uY,195893.0,4.0,1.0,172.0,172.0,172.0,172.0,182332.0,182332.0,182332.0,182332.0,182332.0,2017-03-17,2017-03-17
Dropkick Murphys,I'm Shipping Up To Boston,0.452,0.928,2.0,-3.133,1.0,0.079,0.000706,0.000637,0.226,0.6,129.188,spotify:track:7rSERmjAT38lC5QhJ8hnQc,153600.0,4.0,3.0,139.66666666666666,176.0,84.0,159.0,254852.66666666666,358657.0,180826.0,225075.0,764558.0,2017-03-17,2019-03-17
Linkin Park,Battle Symphony,0.653,0.839,10.0,-5.077,1.0,0.0685,0.0369,0.0,0.068,0.669,149.034,spotify:track:3FQCJI2t5LTbsRPfYVBSVB,216281.0,4.0,3.0,150.0,189.0,80.0,181.0,234257.0,351355.0,172467.0,178949.0,702771.0,2017-03-17,2017-07-22
Rick Ross,Apple of My Eye (feat. Raphael Saadiq),0.523,0.783,6.0,-3.755,0.0,0.185,0.214,0.0,0.612,0.313,117.264,spotify:track:4M2idH8CQzXQAYlV0NACCt,291280.0,5.0,2.0,189.0,193.0,185.0,189.0,163674.5,167655.0,159694.0,163674.5,327349.0,2017-03-17,2017-03-18
mansionz,Dennis Rodman,0.868,0.399,1.0,-5.245,1.0,0.1,0.0616,0.00319,0.124,0.635,96.004,spotify:track:73cAKC1NbxHuFPcQ4slGtl,190167.0,4.0,1.0,196.0,196.0,196.0,196.0,166943.0,166943.0,166943.0,166943.0,166943.0,2017-03-17,2017-03-17
Drake,Passionfruit,0.809,0.463,11.0,-11.377,1.0,0.0396,0.256,0.085,0.109,0.364,111.98,spotify:track:5mCPDVBb16L4XQwDdbRUpz,298941.0,4.0,453.0,92.15011037527594,199.0,1.0,104.0,458737.5386313466,2828304.0,188969.0,269438.0,207808105.0,2017-03-19,2018-06-30
Drake,Free Smoke,0.736,0.491,10.0,-6.892,0.0,0.439,0.0681,0.0,0.571,0.203,141.979,spotify:track:05KOgYg8PGeJyyWBPi5ja8,218674.0,4.0,87.0,91.52873563218391,200.0,2.0,96.0,447152.6091954023,2441191.0,149035.0,273892.0,38902277.0,2017-03-19,2017-06-18
Drake,Portland,0.925,0.443,1.0,-8.216,1.0,0.264,0.0172,0.0,0.276,0.35,136.078,spotify:track:2bjwRfXMk4uRgOD9IBYl9h,236615.0,4.0,328.0,98.47865853658537,200.0,2.0,107.5,435631.3262195122,2395959.0,164021.0,255815.0,142887075.0,2017-03-19,2018-04-08
Drake,No Long Talk,0.913,0.608,10.0,-6.839,0.0,0.234,0.0671,0.0,0.533,0.578,97.063,spotify:track:6CfrYuD3YRDYdYvH9jNtXY,149569.0,4.0,40.0,83.2,172.0,4.0,80.0,501331.4,2066334.0,174555.0,317759.5,20053256.0,2017-03-19,2017-04-27
Drake,Gyalchester,0.877,0.391,1.0,-8.196,1.0,0.063,0.0317,0.000502,0.0945,0.122,131.018,spotify:track:6UjfByV1lDLW0SOVQA4NAi,189230.0,4.0,212.0,93.05188679245283,197.0,3.0,82.0,407545.67452830187,1944767.0,163377.0,270816.0,86399683.0,2017-03-19,2017-10-19
Drake,Sacrifices,0.903,0.439,8.0,-11.813,1.0,0.397,0.0407,0.0,0.138,0.532,139.112,spotify:track:0xl1w2q4VLojeXp4JfazPL,307593.0,4.0,62.0,95.93548387096774,200.0,6.0,97.5,431583.67741935485,1784215.0,161832.0,272947.0,26758188.0,2017-03-19,2017-05-23
Drake,Blem,0.726,0.535,7.0,-7.804,0.0,0.0476,0.0533,1.38e-05,0.0984,0.375,98.067,spotify:track:2XlHu0HcujBCkWMdIAvrqt,216558.0,4.0,76.0,87.9342105263158,199.0,5.0,87.5,472453.61842105264,1836616.0,157528.0,296476.0,35906475.0,2017-03-19,2017-06-07
Drake,Get It Together,0.781,0.721,5.0,-9.133,0.0,0.0514,0.0945,0.391,0.104,0.849,123.011,spotify:track:7y6c07pgjZvtHI9kuMVqk1,250337.0,4.0,54.0,87.66666666666667,188.0,8.0,92.5,452855.75925925927,1741349.0,165300.0,280799.5,24454211.0,2017-03-19,2017-05-11
Drake,Jorja Interlude,0.735,0.373,11.0,-10.478,1.0,0.104,0.762,0.00202,0.288,0.237,123.081,spotify:track:13e6f8t7RKXuxZ0JdaaJRG,107673.0,4.0,40.0,99.075,200.0,9.0,98.5,453599.15,1707934.0,154815.0,290971.5,18143966.0,2017-03-19,2017-04-27
Drake,4422,0.609,0.229,11.0,-12.36,0.0,0.0333,0.558,0.0413,0.113,0.19,111.887,spotify:track:2fkeWbM6iqTw7oGHTYm2lw,186293.0,4.0,40.0,91.825,176.0,10.0,95.0,457960.3,1595625.0,171254.0,296037.0,18318412.0,2017-03-19,2017-04-27
Drake,KMT,0.875,0.6,1.0,-6.818,1.0,0.0435,0.0189,0.0143,0.132,0.0906,119.987,spotify:track:2jTujnt0y344ai1rNOywgr,162638.0,4.0,47.0,96.14893617021276,194.0,11.0,84.0,431029.93617021275,1607989.0,159770.0,282387.0,20258407.0,2017-03-19,2017-05-04
Drake,Madiba Riddim,0.839,0.521,7.0,-10.45,1.0,0.166,0.245,0.00545,0.607,0.33,105.992,spotify:track:76gUmNLXGQVOsGhfcshkFP,205163.0,4.0,41.0,93.95121951219512,198.0,12.0,93.0,450862.1219512195,1581785.0,154432.0,289433.0,18485347.0,2017-03-19,2017-04-30
Drake,Teenage Fever,0.766,0.283,8.0,-10.33,0.0,0.0846,0.111,0.0172,0.115,0.144,97.04,spotify:track:6n3HGiq4v35D6eFOSwqYuo,219692.0,4.0,103.0,105.0873786407767,199.0,9.0,113.0,359805.82524271845,1626733.0,148270.0,254820.0,37060000.0,2017-03-19,2017-07-06
Drake,Glow,0.688,0.384,9.0,-8.824,0.0,0.375,0.2,0.0,0.708,0.432,162.098,spotify:track:28irpKCCK9nn9DZSik2zEx,206120.0,4.0,26.0,83.65384615384616,166.0,14.0,87.5,479655.46153846156,1439931.0,196881.0,311924.5,12471042.0,2017-03-19,2017-04-13
Drake,Nothings Into Somethings,0.766,0.234,11.0,-7.544,0.0,0.159,0.332,0.00156,0.358,0.256,96.882,spotify:track:6MbH1QiphMCPTqVEVC7UYi,153725.0,4.0,27.0,84.55555555555556,197.0,17.0,87.0,472417.5925925926,1390816.0,186606.0,294308.0,12755275.0,2017-03-19,2017-04-14
Drake,Lose You,0.526,0.583,4.0,-9.172,1.0,0.376,0.699,0.0,0.372,0.378,89.837,spotify:track:2Na0z2gfN67Rzf0vp74Wi3,305374.0,4.0,26.0,94.0,190.0,19.0,93.5,452575.07692307694,1320982.0,177511.0,295319.5,11766952.0,2017-03-19,2017-04-13
Drake,Skepta Interlude,0.745,0.822,7.0,-6.354,1.0,0.252,0.0103,4.2e-06,0.155,0.415,86.733,spotify:track:2dfqS3MRtbLZSZA1IL8xY5,143214.0,5.0,24.0,94.79166666666667,193.0,20.0,87.0,452471.5416666667,1282464.0,166860.0,316635.0,10859317.0,2017-03-19,2017-04-11
Drake,Since Way Back,0.468,0.266,0.0,-11.121,1.0,0.13,0.348,9.55e-06,0.209,0.222,153.294,spotify:track:5JUu0unA8VwhTZ9LkMWUVI,368036.0,4.0,26.0,101.88461538461539,194.0,21.0,103.0,412169.57692307694,1215563.0,169929.0,276489.0,10716409.0,2017-03-19,2017-04-13
Drake,Do Not Disturb,0.618,0.693,7.0,-5.943,0.0,0.45,0.246,0.0,0.112,0.454,170.982,spotify:track:2KvHC9z14GSl4YpkNMX384,283551.0,4.0,106.0,119.94339622641509,197.0,19.0,133.0,297640.5566037736,1281626.0,162412.0,228910.0,31549899.0,2017-03-19,2017-10-12
Drake,Ice Melts,0.813,0.551,6.0,-7.605,0.0,0.353,0.08,0.0,0.386,0.598,124.957,spotify:track:7bJ4mu7MHa3rHiNyKjOoSl,250770.0,4.0,57.0,113.12280701754386,198.0,23.0,123.0,346731.05263157893,1212354.0,150449.0,228464.0,19763670.0,2017-03-19,2017-05-25
Drake,All Me,0.67,0.515,1.0,-6.977,1.0,0.397,0.0705,0.0,0.25,0.422,122.006,spotify:track:7y911sqgHGHcyU4ivapjwi,270867.0,4.0,5.0,136.2,157.0,121.0,134.0,216703.8,222035.0,205541.0,217791.0,1083519.0,2017-03-19,2017-03-23
Drake,"Two Birds, One Stone",0.529,0.838,8.0,-2.619,1.0,0.212,0.337,0.0,0.127,0.355,88.052,spotify:track:3m62bJJXGyQKdR9XyRocnl,238960.0,4.0,3.0,166.0,181.0,148.0,169.0,186852.33333333334,195465.0,176283.0,188809.0,560557.0,2017-03-19,2017-03-21
Drake,Headlines,0.636,0.566,6.0,-7.16,0.0,0.106,0.365,0.000353,0.0917,0.425,151.894,spotify:track:6LxSe8YmdPxy095Ux6znaQ,235987.0,4.0,5.0,181.0,199.0,173.0,176.0,172800.6,177854.0,166453.0,172318.0,864003.0,2017-03-19,2017-03-23
Chuck Berry,Johnny B. Goode,0.534,0.803,10.0,-9.129,1.0,0.0743,0.741,6.07e-05,0.307,0.969,167.983,spotify:track:2QfiRTz5Yc8DdShCxG1tB2,161560.0,4.0,1.0,174.0,174.0,174.0,174.0,166987.0,166987.0,166987.0,166987.0,166987.0,2017-03-19,2017-03-19
Drake,Legend,0.714,0.563,1.0,-7.574,1.0,0.0723,0.0266,0.0,0.0776,0.31,100.091,spotify:track:1ID1QFSNNxi0hiZCNcwjUC,241853.0,4.0,4.0,179.75,186.0,175.0,179.0,172897.5,178621.0,160405.0,176282.0,691590.0,2017-03-19,2017-03-22
Drake,0 To 100 / The Catch Up,0.559,0.716,11.0,-3.964,0.0,0.39,0.737,0.0,0.252,0.504,176.618,spotify:track:4jtyUzZm9WLc2AdaJ1dso7,275227.0,4.0,4.0,191.25,197.0,188.0,190.0,166476.0,173215.0,155023.0,168833.0,665904.0,2017-03-19,2017-03-22
Drake,Jungle,0.697,0.235,7.0,-8.651,1.0,0.0534,0.62,0.000144,0.107,0.378,99.947,spotify:track:7JXZq0JgG2zTrSOAgY8VMC,320400.0,4.0,1.0,199.0,199.0,199.0,199.0,153929.0,153929.0,153929.0,153929.0,153929.0,2017-03-19,2017-03-19
ZAYN,Still Got Time (feat. PARTYNEXTDOOR),0.748,0.627,7.0,-6.029,1.0,0.0644,0.131,0.0,0.0852,0.524,120.963,spotify:track:000xQL6tZNLJzIrtIgxqSl,188491.0,4.0,68.0,83.91176470588235,180.0,52.0,84.0,308552.7794117647,492315.0,181976.0,300826.0,20981589.0,2017-03-24,2017-06-01
Gorillaz,Ascension (feat. Vince Staples),0.676,0.905,1.0,-2.569,1.0,0.147,0.594,0.0,0.154,0.519,152.186,spotify:track:2bBMODHVTXGwE2aZYfbgCt,155973.0,4.0,11.0,129.0,197.0,62.0,135.0,249686.0,422903.0,168976.0,214030.0,2746546.0,2017-03-24,2017-05-02
Gorillaz,Andromeda (feat. DRAM),0.788,0.472,0.0,-9.021,1.0,0.0475,0.003,0.0322,0.59,0.257,130.084,spotify:track:2C0KFbb4v9CNWR5c9jWcKC,197547.0,4.0,11.0,132.45454545454547,185.0,77.0,127.0,236459.0,362581.0,179519.0,206208.0,2601049.0,2017-03-24,2017-05-02
Gorillaz,Saturnz Barz (feat. Popcaan),0.383,0.621,6.0,-5.878,0.0,0.113,0.0272,0.0,0.427,0.213,80.051,spotify:track:7l9CE3wmEGOUYw1j4ETjnL,181907.0,4.0,13.0,122.23076923076923,179.0,70.0,125.0,249180.76923076922,402652.0,183833.0,231604.0,3239350.0,2017-03-24,2017-05-03
David Guetta,Light My Body Up (feat. Nicki Minaj & Lil Wayne),0.699,0.66,6.0,-7.013,0.0,0.0861,0.00365,0.0,0.139,0.689,145.937,spotify:track:5WosZl6RFsHXB4BT2YozYu,225616.0,4.0,1.0,93.0,93.0,93.0,93.0,307977.0,307977.0,307977.0,307977.0,307977.0,2017-03-24,2017-03-24
Lil Uzi Vert,XO TOUR Llif3,0.732,0.75,11.0,-6.366,0.0,0.231,0.00264,0.0,0.109,0.401,155.096,spotify:track:7GX5flRQZVHRAGd6B4TmDO,182707.0,4.0,1154.0,81.37608318890814,199.0,1.0,82.0,530359.6698440207,1662945.0,175840.0,356845.0,612035059.0,2017-03-24,2020-04-12
Mike WiLL Made-It,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",0.741,0.562,4.0,-5.474,0.0,0.165,0.172,0.0,0.0751,0.292,180.068,spotify:track:3A2OHirUAlQp2x73BJlEDA,240926.0,4.0,92.0,152.2608695652174,199.0,109.0,148.5,197034.78260869565,246619.0,154173.0,194093.0,18127200.0,2017-03-24,2017-07-27
blackbear,do re mi,0.745,0.593,8.0,-6.35,1.0,0.0526,0.00522,5.25e-06,0.123,0.17,111.002,spotify:track:3Q3myFA7q4Op95DOpHplaY,212027.0,3.0,370.0,108.81891891891892,200.0,26.0,111.5,288790.88108108105,629171.0,161685.0,251868.5,106852626.0,2017-03-24,2018-04-29
Gorillaz,We Got the Power (feat. Jehnny Beth),0.507,0.985,0.0,-2.392,1.0,0.153,0.228,3.31e-05,0.19,0.394,150.059,spotify:track:7hQ0ojbeqicGhw0wdUVeaN,139560.0,4.0,2.0,179.5,191.0,168.0,179.5,202236.5,206427.0,198046.0,202236.5,404473.0,2017-03-24,2017-04-28
Trey Songz,Come Over,0.608,0.466,2.0,-5.897,1.0,0.0398,0.333,1.43e-06,0.0809,0.231,131.443,spotify:track:7L0sPpF8fzmXxygzY2PdCo,241093.0,4.0,1.0,176.0,176.0,176.0,176.0,194983.0,194983.0,194983.0,194983.0,194983.0,2017-03-24,2017-03-24
Trey Songz,Nobody Else but You,0.708,0.612,5.0,-6.379,0.0,0.122,0.0381,0.0,0.277,0.263,139.913,spotify:track:1HOUzEsetdIPSpAgRPhZQt,229013.0,4.0,49.0,187.3877551020408,200.0,168.0,188.0,164159.91836734695,188371.0,139912.0,166222.0,8043836.0,2017-03-24,2017-08-18
The Chainsmokers,The One,0.76,0.303,2.0,-11.362,1.0,0.0284,0.238,8.09e-06,0.294,0.15,99.991,spotify:track:0wfbD5rAksdXUzRvMfM3x5,177573.0,4.0,67.0,70.55223880597015,136.0,13.0,75.0,392166.4029850746,944826.0,202592.0,339467.0,26275149.0,2017-03-28,2017-06-05
Thomas Rhett,Star Of The Show,0.695,0.641,7.0,-5.807,1.0,0.0261,0.142,0.0,0.131,0.664,101.974,spotify:track:63OQWdXMq0Pe6pRpWY5gO0,181200.0,4.0,22.0,189.95454545454547,200.0,174.0,192.0,174076.5909090909,185821.0,157845.0,176361.0,3829685.0,2017-03-29,2017-06-01
Zara Larsson,TG4M,0.667,0.648,3.0,-6.398,0.0,0.0626,0.0235,1.52e-05,0.0427,0.589,95.031,spotify:track:4uoumbAMEMaKdtiv763jKz,172893.0,4.0,43.0,167.7906976744186,200.0,138.0,168.0,191026.37209302327,217399.0,154434.0,192217.0,8214134.0,2017-03-30,2017-05-25
Kendrick Lamar,HUMBLE.,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,177000.0,4.0,928.0,89.35991379310344,200.0,1.0,94.5,581970.8060344828,4068152.0,189612.0,308792.5,540068908.0,2017-03-31,2020-02-13
Logic,Everybody,0.885,0.94,1.0,-5.908,1.0,0.0913,0.161,0.0,0.0675,0.773,110.005,spotify:track:7cGFbx7MP0H23iHZTZpqMM,162347.0,4.0,209.0,118.14832535885168,199.0,17.0,128.0,273172.8181818182,904658.0,147396.0,228728.0,57093119.0,2017-03-31,2017-10-30
Calvin Harris,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",0.784,0.728,0.0,-4.549,0.0,0.0539,0.34,0.0,0.222,0.713,110.165,spotify:track:60APt5N2NRaKWf5xzJdzyC,229160.0,4.0,42.0,116.33333333333333,175.0,45.0,121.5,250355.42857142858,484197.0,172316.0,231910.5,10514928.0,2017-03-31,2017-07-06
Kodak Black,Conscience (feat. Future),0.666,0.693,1.0,-3.638,1.0,0.199,0.047,0.0,0.115,0.132,159.972,spotify:track:16dXg2YuFOxwDC3cTf5jde,219754.0,4.0,17.0,130.11764705882354,200.0,65.0,133.0,247277.4705882353,394766.0,173544.0,221678.0,4203717.0,2017-03-31,2017-04-20
Cheat Codes,No Promises (feat. Demi Lovato),0.739,0.619,10.0,-6.669,1.0,0.162,0.0572,0.0,0.105,0.58,112.961,spotify:track:5lNuqFVMca4vPupY10cH0J,222787.0,4.0,227.0,107.45814977973568,200.0,50.0,94.0,275395.96475770924,479036.0,153171.0,260488.0,62514884.0,2017-03-31,2017-11-22
Kodak Black,Day for Day,0.737,0.562,5.0,-8.156,1.0,0.373,0.283,0.0,0.0727,0.457,81.015,spotify:track:0rGipWrGwAnZsaVkyiJpap,168312.0,4.0,4.0,156.25,196.0,108.0,160.5,207081.0,282719.0,153267.0,196169.0,828324.0,2017-03-31,2017-04-03
Thomas Rhett,Craving You,0.613,0.839,9.0,-3.799,0.0,0.0352,0.000854,0.0,0.341,0.526,104.975,spotify:track:2d48mamATjby7wgPjdrSOQ,223627.0,4.0,193.0,136.67875647668393,200.0,56.0,149.0,226143.3730569948,360989.0,153154.0,210132.0,43645671.0,2017-03-31,2018-01-11
Little Mix,Touch,0.607,0.718,4.0,-4.095,1.0,0.0978,0.032,0.0,0.403,0.551,101.821,spotify:track:6oG7bmUn7ws0qYEJ0eEbeG,213307.0,4.0,60.0,117.36666666666666,152.0,92.0,119.0,244838.18333333332,297473.0,184835.0,241357.5,14690291.0,2017-03-31,2017-05-29
Kodak Black,Coolin and Booted,0.808,0.526,9.0,-7.348,1.0,0.0712,0.0264,0.0,0.151,0.494,140.019,spotify:track:1Nh5WUisukhSNgwXLRoyZf,214782.0,4.0,3.0,160.0,189.0,132.0,159.0,203197.33333333334,238953.0,174952.0,195687.0,609592.0,2017-03-31,2017-04-03
WizKid,Come Closer (feat. Drake),0.825,0.453,4.0,-7.429,0.0,0.227,0.127,3.82e-06,0.0838,0.496,99.974,spotify:track:2zYs4BonN2ydkbrRk333SN,211293.0,4.0,4.0,174.5,194.0,142.0,181.0,188668.75,229403.0,170932.0,177170.0,754675.0,2017-03-31,2017-04-04
alt-J,In Cold Blood,0.495,0.745,11.0,-5.475,0.0,0.035,0.142,0.000441,0.194,0.589,143.398,spotify:track:0jeJR3LdrC2QJNviq7wjzp,206027.0,4.0,1.0,145.0,145.0,145.0,145.0,226783.0,226783.0,226783.0,226783.0,226783.0,2017-03-31,2017-03-31
Kodak Black,Patty Cake,0.806,0.77,1.0,-6.464,0.0,0.19,0.0252,0.0,0.0645,0.406,152.094,spotify:track:0bXFIF7iL17TYLyx8JHziM,198110.0,4.0,179.0,168.268156424581,199.0,125.0,166.0,188779.54748603352,222658.0,142809.0,189386.0,33791539.0,2017-03-31,2017-11-12
Chris Brown,Privacy,0.741,0.58,0.0,-7.741,1.0,0.378,0.153,0.0,0.109,0.428,97.092,spotify:track:2Vf2Pflg5rTWSvSCK4qq4A,220964.0,4.0,3.0,178.66666666666666,194.0,156.0,186.0,193469.33333333334,218311.0,180898.0,181199.0,580408.0,2017-03-31,2017-11-02
Kodak Black,Up in Here,0.772,0.659,9.0,-6.18,1.0,0.413,0.361,0.0,0.143,0.409,87.981,spotify:track:4rcDP7pcJ9TN3LDeFSfUav,175682.0,4.0,1.0,171.0,171.0,171.0,171.0,200628.0,200628.0,200628.0,200628.0,200628.0,2017-03-31,2017-03-31
Kodak Black,U Ain't Never,0.836,0.556,0.0,-7.631,0.0,0.346,0.112,0.0,0.0787,0.422,140.039,spotify:track:6scsBF1tws6Dg8VL3Xu5bS,209707.0,4.0,1.0,187.0,187.0,187.0,187.0,186253.0,186253.0,186253.0,186253.0,186253.0,2017-03-31,2017-03-31
Vice,Obsession (feat. Jon Bellion),0.741,0.559,10.0,-7.775,1.0,0.03,0.00728,0.000971,0.21,0.466,101.999,spotify:track:5pvVAwQbuFoR7LkcicrKnk,221983.0,4.0,61.0,126.34426229508196,198.0,88.0,123.0,236905.0,293978.0,152811.0,242001.0,14451205.0,2017-03-31,2017-06-01
Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,0.703,0.868,7.0,-4.661,0.0,0.0291,0.15,0.132,0.104,0.733,121.03,spotify:track:1NDxZ7cFAo481dtYWdrUnR,193613.0,4.0,142.0,91.24647887323944,198.0,58.0,79.0,288911.0985915493,414756.0,145258.0,291829.5,41025376.0,2017-04-01,2017-08-24
Florida Georgia Line,"God, Your Mama, And Me",0.443,0.817,7.0,-3.729,1.0,0.0511,0.318,0.0,0.374,0.652,168.1,spotify:track:4VFE6ZNqa8jHAmbYICoAFg,183413.0,4.0,54.0,161.96296296296296,200.0,112.0,160.0,186981.92592592593,218982.0,153982.0,187744.0,10097024.0,2017-04-03,2017-07-07
